StartTime,Motion
0.0,1260,587
0.090840391,1273,576
0.216870455,1230,155
0.297170688,1249,149
0.390156447,1260,131
0.488805046,1252,56
0.60266366,1275,73
0.687104072,1274,59
0.791293081,0,0
0.919967245,0,0
1.013477693,1080,7
1.094693086,0,0
1.187379932,0,0
1.28647277,0,0
1.391523297,1168,108
1.485711185,0,0
1.589067315,0,0
1.687122093,1227,13
1.788106676,1272,78
1.887791128,0,0
1.987932988,0,0
2.089402676,28,483
2.186835111,0,0
2.28839158,0,0
2.397454611,13,472
2.49491817,0,0
2.615460329,0,0
2.715405475,0,0
2.793889437,0,0
2.886252816,0,0
2.987353436,0,0
3.095325567,0,0
3.215294395,0,0
3.308567532,0,0
3.404218077,0,0
3.487680939,0,0
3.59121904,0,0
3.688195833,0,0
3.787077426,0,0
3.885553113,0,0
3.985889822,0,0
4.09021637,0,0
4.186459666,0,0
4.285992967,0,0
4.388681827,0,0
4.485616697,0,0
4.587006803,0,0
4.686137578,0,0
4.792388679,0,0
4.889767488,0,0
4.989026884,0,0
5.094572154,0,0
5.188778792,634,766
5.292839748,634,767
5.390482121,0,0
5.497766802,0,0
5.608285125,21,789
5.723645258,47,745
5.843770793,51,716
5.951434581,60,753
6.052241591,131,785
6.142672823,43,676
6.227789707,75,651
6.302567815,55,628
6.389856826,70,644
6.486540256,90,669
6.587036882,86,663
6.692697655,65,648
6.786175882,73,663
6.889180124,107,686
6.990629165,153,698
7.090589202,164,524
7.195824828,191,507
7.320964446,198,504
7.415999261,177,496
7.48958214,158,532
7.589348343,164,508
7.688798785,180,495
7.78972445,186,499
7.890100884,214,459
7.991987608,206,460
8.090198949,197,470
8.190580219,200,477
8.294691774,210,481
8.389160441,191,494
8.488739952,197,490
8.593163248,227,441
8.689390184,256,459
8.790693378,264,427
8.8898426,286,455
8.989630837,273,418
9.091977936,256,422
9.18800956,251,431
9.286699325,217,453
9.391705372,229,456
9.489959366,215,445
9.591220082,197,471
9.68975971,204,444
9.794282679,203,444
9.889885435,196,445
9.989425254,198,434
10.088352419,206,438
10.188381855,200,427
10.288402786,212,459
10.390669886,189,422
10.499135416,180,418
10.591334201,166,424
10.694394499,173,443
10.788118672,163,419
10.887779332,160,455
10.987472925,155,454
11.088236993,191,499
11.19011676,151,438
11.288535294,164,441
11.397068165,155,441
11.503845375,156,427
11.602812828,186,497
11.698339856,173,497
11.788748222,141,435
11.894961455,147,505
11.990735875,134,521
12.088956301,134,499
12.190558134,139,432
12.288804995,138,437
12.391299659,116,410
12.494172883,115,415
12.6053406,136,439
12.718836282,149,442
12.811515669,143,425
12.887117278,135,412
12.992868122,109,426
13.099555175,137,424
13.189832268,142,421
13.287857127,132,419
13.387197363,129,434
13.4868899,122,463
13.593153715,107,462
13.688316101,77,456
13.794347871,79,444
13.890445424,101,434
13.99156586,121,674
14.091495498,123,667
14.192095619,120,673
14.291934857,119,668
14.391472334,115,685
14.489325794,115,674
14.586768756,107,643
14.69043793,63,613
14.793648727,64,603
14.894285774,70,610
14.998632871,65,608
15.104441702,70,614
15.205308992,68,610
15.289492778,90,634
15.38928972,70,607
15.488042287,71,626
15.59035508,74,627
15.690947143,43,600
15.791689065,46,607
