StartTime,Motion
0.0,1
2.399813261,0
3.00009064,-1
3.199805096,0
3.605909374,-1
4.403846578,-2
4.999882899,-3
5.399764957,-2
6.399947773,-1
7.199886332,0
7.399975105,1
8.199793677,0
8.399701656,1
9.199809878,0
9.800022915,1
10.199869458,0
10.99978876,1
11.199888939,2
11.802643981,3
12.200199595,2
12.407006158,3
12.799883938,2
13.399831564,1
13.599852831,2
14.999753123,1
15.39981042,0
15.999917603,-1
16.799793861,-2
16.999884635,-1
17.599796242,0
17.999913844,-1
18.999786248,0
19.600100443,1
21.199779233,0
22.59990589,-1
23.199901937,-2
24.999977181,-1
25.799854812,-2
26.399905405,-1
27.399986899,0
30.800079949,1
31.199937308,0
31.399819099,1
32.200048625,2
32.399875119,1
32.999867743,0
33.599929689,1
34.000793405,2
34.799978453,3
35.399979733,4
35.599911285,3
36.199982094,4
37.600016721,3
37.799949525,4
38.599852454,5
38.79998842,4
39.399956779,3
39.599919664,2
39.99990034,3
41.199942986,2
41.60001457,1
43.612069339,0
44.200108167,-1
44.999915325,0
45.200195555,1
46.19996042,0
47.599945858,1
47.799907737,2
48.600000927,3
48.799965059,2
50.199959386,3
50.80018894,2
51.600218637,3
52.000021302,4
53.199933376,5
53.399889043,4
54.200039927,5
54.800099214,4
55.999967869,5
56.599878549,6
56.799918012,5
57.399961134,4
57.799964491,5
61.400038252,4
61.800034713,5
61.999984155,6
63.199990448,7
63.400003526,6
63.599988928,7
64.400279146,8
66.000116842,9
66.199937846,10
66.59994441,11
67.200022906,12
67.99987081,11
68.1999765,10
69.199982457,11
70.000134253,12
70.799967727,11
71.000014627,12
71.200133209,11
72.800064001,12
73.00006462,13
73.400135057,12
75.600248788,11
75.799969664,10
77.200214686,11
77.400028595,10
77.60011023,11
78.600181885,10
79.40000769,9
79.600155028,10
81.200500096,11
82.000210365,12
82.800250912,11
83.400359368,10
83.800058507,11
84.200425013,12
85.400201151,11
86.000256533,12
86.199994883,11
86.400109858,10
87.000081477,11
87.199989015,12
88.000271806,13
88.400197693,14
88.80010325,13
89.200133395,12
90.800119087,11
91.200137837,12
92.000063865,13
92.200188245,14
92.800031766,13
93.200216941,12
93.400002945,11
93.600013048,10
94.800067768,11
95.000049268,12
95.60024504,13
95.800019476,14
96.000049508,15
96.200119807,14
97.600133363,13
98.200039364,12
98.400093407,11
99.200104074,10
100.600847871,11
100.800107425,10
101.000137239,9
101.400024474,10
101.600086735,9
102.400142863,10
102.800121004,9
103.000081131,8
104.400238318,9
105.000092902,8
106.000105801,9
106.60012276,8
106.80014669,7
107.000033602,6
107.400243302,7
109.600203501,8
110.200019872,7
111.200117652,8
111.400116968,9
111.800102988,10
112.400202368,9
113.000307834,10
113.200143857,9
113.400057222,10
113.800111916,9
114.400125748,8
115.400138788,9
115.800206281,8
116.200320641,9
116.599986325,10
117.00014472,11
117.200595432,10
117.40006489,11
117.800109107,12
118.800342392,11
120.000103405,10
122.000190205,9
122.600091611,8
123.200165681,7
123.600134825,8
124.000533627,7
124.400268939,8
125.400119684,7
126.000144218,6
127.200072274,5
127.800092475,4
128.200056318,5
129.200373107,6
129.400140635,5
129.800286129,6
130.800322509,5
132.000140628,6
132.200190777,5
132.800327608,4
133.000125504,3
133.400075685,4
134.000299605,5
134.800284746,6
138.200333611,7
139.000167012,6
140.800139758,7
141.400350504,8
142.400121027,7
142.800462311,8
143.400209806,9
143.800016757,8
144.000140278,7
144.200191016,8
147.200224791,7
148.600143011,6
149.000150238,7
150.000368688,6
151.000176482,7
151.400201065,8
151.600198533,7
152.400306988,8
152.600102884,9
155.00023423,10
